
""
"","EIDS Code","MCP Line"
"Route Code10 (ISL-up)","'20","'ISL-UP"
"","","","","","","Sequence1","","","Sequence2","","","Sequence3","","","Sequence4","","","Sequence5","","","Sequence6",""
"Station","","EIDS Code","MCP Line","Line No","Station No","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language"
"Station Code12 (ADM)","Arrived","'2A","'ADMPLT","2 (ISL-DN)","'0C (ADMPLT)","0","32","E-C-M","150","33","E-C-M","0","0","","0","0","","0","0","","0","0",""
"Station Code11 (CEN)","Leaving","'2B","'CEN   ","2 (ISL-DN)","'0D (CEN)","0","34","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code10 (SHW)","Leaving","'2C","'SHW   ","2 (ISL-DN)","'0E (SHW)","0","35","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code10 (SHW)","Arrived","'2C","'SHWPLT","2 (ISL-DN)","'0F (SHWPLT)","0","36","E-C-M","20","37","E-C-M","0","0","","0","0","","0","0","","0","0",""
""
"","EIDS Code","MCP Line"
"Route Code12 (KTL-up)","'22","'KTL-UP"
"","","","","","","Sequence1","","","Sequence2","","","Sequence3","","","Sequence4","","","Sequence5","","","Sequence6",""
"Station","","EIDS Code","MCP Line","Line No","Station No","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language"
"Station Code41 (YMT)","Leaving","'00","'YMT   ","3 (KTL-UP)","'0F (YMT)","0","0","","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code40 (MOK)","Leaving","'20","'MOK   ","3 (KTL-UP)","'01 (MOK)","0","38","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code39 (PRE)","Leaving","'21","'PRE   ","3 (KTL-UP)","'02 (PRE)","0","39","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code61 (SKM)","Leaving","'22","'SKM   ","3 (KTL-UP)","'03 (SKM)","0","40","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code60 (KOT)","Leaving","'23","'KOT   ","3 (KTL-UP)","'04 (KOT)","0","41","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code59 (LOF)","Leaving","'24","'LOF   ","3 (KTL-UP)","'05 (LOF)","0","42","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code58 (WTS)","Leaving","'25","'WTS   ","3 (KTL-UP)","'06 (WTS)","0","43","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code57 (DIH)","Leaving","'26","'DIH   ","3 (KTL-UP)","'07 (DIH)","0","44","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code56 (CHH)","Leaving","'27","'CHH   ","3 (KTL-UP)","'08 (CHH)","0","45","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code56 (CHH)","Arrived","'27","'CHH CT","3 (KTL-UP)","'14 (CHH cen)","0","46","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code55 (KOB)","Leaving","'28","'KOB   ","3 (KTL-UP)","'09 (KOB)","0","47","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code54 (NTK)","Leaving","'29","'NTK   ","3 (KTL-UP)","'0A (NTK)","0","48","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code53 (KWT)","Leaving","'2A","'KWT   ","3 (KTL-UP)","'0B (KWT)","0","49","E-C-M","200","50","E-C-M","100","51","E-C-M","0","0","","0","0","","0","0",""
"Station Code52 (LAT)","Leaving","'2B","'LAT   ","3 (KTL-UP)","'0C (LAT)","0","52","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code86 (YAT)","Leaving","'2C","'YAT   ","3 (KTL-UP)","'19 (YAT)","0","53","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code85 (TIK)","Leaving","'2D","'TIK   ","3 (KTL-UP)","'1A (TIK)","0","55","E-C-M","550","57","E-C-M","20","59","E-C-M","0","0","","0","0","","0","0",""
""
"","EIDS Code","MCP Line"
"Route Code13 (KTL-down)","'23","'KTL-DN"
"","","","","","","Sequence1","","","Sequence2","","","Sequence3","","","Sequence4","","","Sequence5","","","Sequence6",""
"Station","","EIDS Code","MCP Line","Line No","Station No","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language"
"Station Code85 (TIK)","Leaving","'00","'TIK   ","4 (KTL_DN)","'18 (TIK)","0","0","","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code86 (YAT)","Leaving","'20","'YAT   ","4 (KTL_DN)","'19 (YAT)","0","60","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code52 (LAT)","Leaving","'21","'LAT   ","4 (KTL_DN)","'01 (LAT)","0","62","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code53 (KWT)","Leaving","'22","'KWT   ","4 (KTL_DN)","'02 (KWT)","0","63","E-C-M","60","64","E-C-M","100","65","E-C-M","0","0","","0","0","","0","0",""
